CONTROL,VIV_SEL,HOGAR,R_SEL,FAC_ELE
0140089,04,01,05,001152
0140089,05,01,01,000384
0140090,01,01,01,000408
0140090,02,01,02,000408
0140090,03,01,02,000408
0140090,04,01,02,000408
0140090,05,01,02,000408
0140091,01,01,05,000360
0140091,02,01,01,000180
0140091,03,01,05,000900
0140091,04,01,01,000540
0140091,05,01,01,000360
0140092,01,01,01,000588
0140092,03,01,02,000588
0140092,04,01,01,000196
0140092,05,01,02,000588
0140093,01,01,02,000334
0140093,02,01,01,000668
0140093,03,01,01,000167
0140093,04,01,01,000501
0140093,05,01,01,000835
0140094,01,01,01,000573
0140094,02,01,01,000382
0140094,03,01,03,000573
0140094,04,01,01,000191
0140094,05,01,03,000955
0140096,01,01,02,000684
0140096,02,01,01,000513
0140096,03,01,02,000684
0140096,04,01,01,000342
0140096,05,01,01,000855
0140097,01,01,02,000597
0140097,02,01,01,000199
0140097,02,02,01,000199
0140097,02,03,01,000199
0140097,03,01,01,000199
0140097,04,01,02,000597
0140097,05,01,01,000597
0140098,01,01,02,001116
0140098,02,01,04,000930
0140098,04,01,03,000744
0140099,01,01,01,000800
0140099,02,01,01,000600
0140099,03,01,03,000600
0140099,04,01,01,000400
0140100,01,01,03,000474
0140100,02,01,02,000474
0140100,03,01,03,000474
0140100,04,01,01,000316
0140100,05,01,01,000474
0140102,01,01,01,000282
0140102,02,01,02,000282
0140102,03,01,02,000282
0140102,04,01,03,000423
0140102,05,01,02,000282
0140103,01,01,01,000358
0140103,02,01,01,000716
0140103,03,01,02,000716
0140103,04,01,02,000358
0140104,01,01,01,000552
0140104,02,01,04,000736
0140104,03,01,02,000368
0140104,04,01,01,000736
0140104,05,01,01,000368
0140106,01,01,04,000684
0140106,02,01,03,000513
0140106,02,02,02,000342
0140106,03,01,01,000342
0140106,04,01,01,000342
0140106,05,01,01,000342
0140110,01,01,02,000459
0140110,02,01,01,000153
0140110,02,02,01,000153
0140110,04,01,01,000153
0140111,01,01,02,000534
0140111,02,01,04,000712
0140111,03,01,01,000356
0140111,04,01,02,000356
0140111,05,01,03,000890
0140114,01,01,01,000326
0140114,02,01,02,000326
0140114,04,01,01,000652
0140114,05,01,04,000652
0140117,01,01,01,000178
0140117,02,01,01,000178
0140117,03,01,01,000178
0140117,04,01,03,000534
0140117,05,01,02,000534
0140120,01,01,01,000203
0140120,02,01,01,000406
0140120,03,01,02,000406
0140120,04,01,01,000406
0140120,05,01,02,000406
0140121,01,01,02,001284
0140121,05,01,02,000428
0140125,01,01,02,000386
0140125,02,01,02,000386
0140125,03,01,01,000193
0140125,04,01,03,000579
0140125,05,01,02,000579
0140126,01,01,03,000784
0140126,02,01,02,000588
0140126,03,01,02,000392
0140126,04,01,05,001176
0140126,05,01,01,000392
0140127,01,01,02,000356
0140127,02,01,02,000356
0140127,03,01,05,000890
0140127,04,01,04,000712
0140127,05,01,01,000356
0140128,01,01,01,000302
0140128,02,01,01,000151
0140128,04,01,02,000453
0140128,05,01,01,000302
0140129,01,01,01,000378
0140129,02,01,01,000756
0140129,03,01,03,000756
0140129,04,01,01,000378
0140129,05,01,02,000378
0140130,01,01,01,000492
0140130,02,01,04,000656
0140130,03,01,01,000328
0140130,04,01,01,000328
0140130,05,01,02,000328
0140131,01,01,01,000184
0140131,02,01,01,000368
0140131,03,01,01,000552
0140131,04,01,02,000368
0140131,05,01,01,000184
0140132,01,01,02,000382
0140132,02,01,01,000382
0140132,03,01,02,000573
0140132,04,01,01,000382
0140132,05,01,04,000764
0140134,01,01,01,000438
0140134,02,01,01,000438
0140134,03,01,05,001095
0140134,04,01,02,000657
0140134,05,01,02,000438
0140135,01,01,01,000180
0140135,02,01,01,000180
0140135,03,01,01,000360
0140135,05,01,03,000540
0140136,01,01,04,000688
0140136,02,01,01,000688
0140136,03,01,03,000688
0140136,04,01,01,000688
0140136,05,01,08,001376
0140137,01,01,02,000404
0140137,02,01,03,000606
0140137,03,01,01,000404
0140137,04,01,01,000404
0140137,05,01,03,000606
0140141,01,01,02,000510
0140141,02,01,03,000510
0140141,03,01,02,000340
0140141,04,01,03,000510
0140141,05,01,02,000340
0140142,01,01,01,000178
0140142,02,01,01,000534
0140142,03,01,02,000712
0140142,04,01,05,000890
0140142,05,01,01,000356
0140143,01,01,04,000685
0140143,02,01,01,000274
0140143,03,01,02,000411
0140143,05,01,02,000274
0140145,02,01,01,000214
0140145,03,01,01,000428
0140146,01,01,02,000588
0140146,02,01,02,000392
0140146,03,01,01,000784
0140146,05,01,02,000392
0140149,01,01,05,000855
0140149,02,01,01,000513
0140149,03,01,01,000513
0140149,04,01,02,000342
0140149,05,01,01,000342
0140150,01,01,01,000192
0140150,02,01,04,000768
0140150,03,01,02,000960
0140150,04,01,01,000384
0140150,05,01,01,000576
0140151,02,01,02,000642
0140151,03,01,02,000642
0140151,04,01,02,000642
0140151,05,01,04,001070
0140154,01,01,01,000513
0140154,02,01,01,000513
0140154,03,01,04,000855
0140154,04,01,02,000342
0140154,05,01,01,000342
0140155,01,01,01,000164
0140155,02,01,02,000328
0140155,03,01,01,000164
0140155,03,02,01,000164
0140155,03,03,02,000328
0140155,04,01,01,000328
0140155,05,01,02,000328
0140156,01,01,01,000192
0140156,04,01,01,000384
0140156,05,01,02,000768
0140157,01,01,02,000374
0140157,02,01,02,000374
0140157,03,01,02,000374
0140157,04,01,02,000374
0140157,05,01,01,000374
0140158,01,01,01,000378
0140158,02,01,02,000378
0140158,03,01,01,000378
0140158,04,01,02,000567
0140158,05,01,02,000378
0140160,01,01,01,000278
0140160,02,01,02,000278
0140160,03,01,01,000278
0140160,04,01,01,000139
0140160,05,01,01,000556
0140161,01,01,02,000630
0140161,02,01,01,000840
0140161,03,01,02,000420
0140161,04,01,01,000630
0140161,05,01,01,000210
0140162,01,01,02,000716
0140162,02,01,01,000358
0140162,03,01,02,000358
0140162,04,01,01,000358
0140162,05,01,01,000895
0140163,01,01,04,000724
0140163,02,01,02,000905
0140163,04,01,04,000724
0140163,05,01,04,000724
0140164,01,01,01,000358
0140164,02,01,02,000716
0140164,03,01,03,001074
0140164,04,01,01,000537
0140164,05,01,02,000358
0140166,01,01,01,000306
0140166,02,01,02,000306
0140166,03,01,02,000306
0140166,05,01,01,000153
0140167,01,01,04,000552
0140167,03,01,01,000276
0140167,04,01,03,000552
0140167,05,01,01,000552
0140169,01,01,03,000855
0140169,02,01,01,000342
0140169,03,01,01,000684
0140169,04,01,03,000513
0140169,05,01,01,000342
0140172,01,01,03,000531
0140172,02,01,02,000531
0140172,03,01,01,000354
0140172,04,01,01,000354
0140172,05,01,01,000354
0140173,01,01,01,000171
0140173,02,01,01,000342
0140173,03,01,01,000342
0140173,04,01,01,000342
0140173,05,01,02,000342
0140174,01,01,01,000158
0140174,02,01,02,000316
0140174,03,01,02,000474
0140174,04,01,02,000474
0140174,05,01,01,000158
0140175,01,01,01,000495
0140175,02,01,01,000330
0140175,03,01,02,000330
0140175,05,01,01,000495
0140176,01,01,02,000308
0140176,02,01,02,000616
0140176,03,01,01,000770
0140176,04,01,01,000308
0140176,05,01,02,000462
0140177,01,01,02,000540
0140177,02,01,02,000360
0140177,03,01,02,000360
0140177,04,01,01,000360
0140177,05,01,02,000360
0140178,01,01,01,000164
0140178,02,01,01,000164
0140178,03,01,02,000328
0140178,04,01,01,000328
0140178,05,01,01,000164
0140179,01,01,01,000328
0140179,02,01,01,000164
0140179,03,01,01,000164
0140179,04,01,01,000164
0140180,01,01,01,000306
0140180,02,01,01,000306
0140180,03,01,01,000153
0140180,04,01,01,000918
0140181,01,01,02,000354
0140181,02,01,01,000354
0140181,03,01,01,000177
0140181,04,01,01,000177
0140181,05,01,02,000354
0140183,01,01,01,000346
0140183,03,01,01,000346
0140183,04,01,02,000346
0140183,05,01,02,000346
0140184,01,01,01,000338
0140184,02,01,02,000507
0140184,03,01,01,000338
0140184,04,01,05,000676
0140184,05,01,02,000507
0140186,01,01,03,000498
0140186,02,01,02,000332
0140186,03,01,04,000664
0140186,04,01,01,000166
0140186,05,01,01,000332
0140187,01,01,01,000394
0140187,02,01,01,000394
0140187,03,01,01,000394
0140187,04,01,01,000394
0140187,05,01,01,000394
0140189,01,01,02,000318
0140189,02,01,01,000318
0140189,03,01,02,000318
0140189,04,01,03,000477
0140189,05,01,02,000318
0140193,01,01,01,000186
0140193,02,01,01,000372
0140193,03,01,03,000744
0140193,04,01,01,000186
0140193,05,01,02,000372
0140193,05,02,01,000372
0140195,01,01,03,000712
0140195,02,01,01,000356
0140195,03,01,01,000712
0140195,04,01,01,000356
0140195,05,01,01,000534
0140196,02,01,01,000591
0140196,03,01,02,000394
0140196,04,01,02,000394
0140196,05,01,01,000394
0140197,01,01,01,000336
0140197,02,01,01,000336
0140197,03,01,03,000504
0140197,04,01,02,000336
0140197,05,01,02,000336
0140199,01,01,02,000406
0140199,02,01,01,000203
0140199,03,01,02,000406
0140199,04,01,01,000609
0140201,01,01,03,000672
0140201,02,01,01,000336
0140201,03,01,01,000168
0140201,04,01,01,000168
0140201,05,01,02,000336
0140203,01,01,01,000489
0140203,03,01,01,000489
0140203,04,01,04,000652
0140203,05,01,01,000326
0140205,01,01,01,000324
0140205,02,01,01,000324
0140205,03,01,02,000324
0140205,04,01,01,000324
0140205,05,01,02,000162
0140206,01,01,03,000600
